pid,trial,actual,predicted,prob,top_feature,top_shap
P004,22,accept,accept,0.8114272519206247,offer_amount,-0.06623398181736775
P001,23,accept,accept,0.7664021209326948,offer_amount,-0.05320596944702629
P005,2,accept,accept,0.8031429849611174,offer_amount,-0.07223105879720607
P005,3,reject,reject,0.06398724862849357,offer_amount,0.08465180529365171
P001,1,accept,accept,0.8225447267880233,offer_amount,-0.06397664769983749
P003,3,reject,reject,0.08108867453386374,mean_hr,0.07760139621277631
P003,17,accept,accept,0.9044883868500293,mean_hr,0.0909364520645795
P003,19,accept,accept,0.7643186426745614,mean_hr,0.08508286296028018
P001,11,reject,reject,0.0814600065460847,sdnn,-0.04548709430573581
P003,22,accept,accept,0.9219252798860414,offer_amount,-0.06321155377117975
