frontal_asymmetry,mean_eeg_tp10_post,mean_eeg_tp9_post,lf_hf_baseline,mean_eeg_af8_post,mean_eeg_af7_post,participant_id,label
0.013616595884013805,0.08261861858518386,0.05361842095680913,-0.007298972121316183,0.021014095563941737,0.033213014310604194,P001,1
-0.07877901698720961,0.02556721074079178,-0.04080009266126581,-0.014831836922712682,-0.0060269642693583595,-0.03163464342937914,P001,0
-0.05894607595773778,0.013115170226046757,-0.02732503228562564,-0.018255099361886094,-0.0038981581833013477,-0.03715580943066925,P001,0
-0.012664865106944489,0.005108654886316799,-0.015195449699058372,-0.03255626379514069,0.0038808827270258917,0.05172959400706532,P001,0
-0.0041041884691367155,-0.0119636906944379,0.03331416010873909,-0.03454155597364661,-0.018069473409605054,0.04248815309401834,P001,0
0.04012148176589107,-0.05664870732707641,-0.04001708535524813,-0.016751804858449758,0.006801497051901606,-0.0754111471588658,P001,0
0.0326553601004889,-0.011737351936062623,0.005749699460147894,-0.022604155927547255,-0.014884044211066793,-0.0806103179733327,P001,0
0.15774175162987375,0.10954839414098387,-0.01756984121429923,-0.013194734300668642,0.015701598266196014,0.09400263506045121,P001,1
-0.00448986289138702,-0.06630717375046516,-0.03502033393351667,-0.031178510704012296,-0.004582873366325657,-0.06305684028211545,P001,0
0.00569283118511521,0.06977431230388902,-0.005471814184147661,-0.020759540927247144,0.010265645315530491,0.0839099345314935,P001,1
0.07250093308339274,-0.0007724379116552882,-0.038233534799610426,-0.022434225202232483,-0.003473126173412311,-0.028249723338421972,P001,0
-0.048038818819077275,-0.03748497956185019,-0.01538682588593474,-0.01899116133481584,-0.0070270492411509625,-0.06853590916789472,P001,0
-0.01460998278016632,-0.008524075682362308,0.05813268902443269,-0.026114704166866433,-0.013580788638410012,-0.10367959070554207,P001,0
-0.017661819076420216,-0.038028071209555495,-0.019471993789147747,-0.021467256588766758,-0.009689881860504101,-0.06408430973751819,P001,0
0.04573139735284713,0.01036663387549197,0.07962738140172405,-0.02423664078933143,0.03153093239952796,0.05065376202455809,P001,1
-0.08236463578905387,-0.042173435512086146,0.0222858087545319,-0.02730180322560045,-0.04705877812175459,0.03829979251586337,P001,0
-0.06398735635630146,-0.02250022258122044,-0.03406780376953975,-0.016599866098476922,-0.007733712260323955,-0.0600692378572603,P001,0
-0.06995392532553524,0.016830568324076013,-0.022292804826611244,-0.021697664390012507,-0.003319615081909433,-0.07094258733550304,P001,0
-0.013290114979645296,-0.01763281955609273,-0.027576676282569677,-0.03514723932594279,-0.004270705048247692,0.050890786006402774,P001,0
-0.05847617334629831,-0.012706048965719674,-0.04764035479201993,-0.018004042523898534,-0.04462732195465833,0.0034650178191441227,P001,0
0.07126807000904592,-0.013221981981359932,-0.047720440166449406,-0.015647671397482556,-0.01666368734536263,-0.0009444182449897198,P001,0
-0.0032768953190497998,-0.007204829134389001,-0.061227274413795385,-0.013488141206471483,-0.012580216165497404,-0.011062089819643007,P001,0
0.02263711588439037,0.05341049321577884,0.05490548322864015,-0.024535709580050025,0.018222154608065467,0.06914828068261158,P001,1
0.1121474332751859,0.07330933789871778,0.05165068863266242,-0.014466212475599604,0.03366728489909292,0.00014358311523210432,P001,1
0.0004169906549577718,-0.04025101823517616,-0.07190474570543301,0.01972064998544738,-0.0006467453355071484,-0.017183190185642162,P003,0
0.025105533823261795,0.005789079731948732,0.050066718376820064,0.06073476897945511,0.02474579822983287,0.0723275802455646,P003,1
-0.015341759788680066,-0.04163162544282386,-0.050038616357278444,0.04016258639494481,-0.016063635923137552,0.02863343996068579,P003,0
-0.027147843637430925,-0.03595055893874814,-0.03331048651984929,0.026492729860638064,-0.014497490489111442,-0.11401110356491699,P003,0
-0.009998242629171728,-0.0013871386167011225,-0.06310159991026013,0.03419125973805422,-0.020354602112956855,-0.05456328936011232,P003,0
0.005887977743986994,-0.014750488371237224,-0.03933902218886942,0.04799388696128517,0.012165277146323206,0.018826853606333314,P003,0
-0.030740748348034686,-0.013988064411205415,0.04289423381369488,0.04358537836596952,-0.03095978566275335,0.047560183753103044,P003,0
0.07553329914553615,0.06332842262527265,0.06418278014962198,0.05490655517214691,0.02297655878332989,0.07615069737221347,P003,1
-0.06224441434433174,-0.02519023606191695,-0.0439384817543214,0.020694709103736386,-0.046289359196907756,0.013324361977538501,P003,0
-0.01883496218442815,0.030627573207311798,0.05439415201708471,0.05318251822500315,0.022155485182565826,0.05579940666311813,P003,1
-0.0005938033636994078,-0.0032242012706774404,-0.09136709376552972,0.039728126999489174,0.017717467026250232,0.016255008270582037,P003,0
0.052345155235616406,0.05431977079333592,0.03670171591311373,0.038987842768256085,0.03260785862398734,-0.002684804930458995,P003,1
0.004371854301825806,-0.046003701560948684,0.028251062074014045,0.045512823868102716,-0.010531551962958473,-0.06312093144888423,P003,0
0.003135973533062497,-0.021771870526754354,-0.0767382920907039,0.026345521357416146,0.01387477994812798,0.010639567455928044,P003,0
0.03869423191772512,0.035614683367020915,-0.011366823634034517,0.05970876014134774,0.013843339279628709,0.05516964140879281,P003,1
0.02148266773256182,0.056731219898392735,0.025370999753158686,0.07003568602440283,0.014148494888422647,0.09545053892597935,P003,1
0.018743327497486462,0.03496967938258422,0.01199236571237634,0.0657872687454983,0.026859072304159782,0.07972824778153154,P003,1
