,T1-Shot1,T1-Shot2,T1-Shot3,T1-Shot4,T1-Shot5,T2-Shot1,T3-Shot1,T3-Shot2,T3-Shot3,T3-Shot4,T3-Shot5,T4-Shot1,T4-Shot2,T4-Shot3,T4-Shot4,T4-Shot5,T5-Shot1,T5-Shot2,T5-Shot3,T5-Shot4,T5-Shot5
T1-Shot1,0.0,0.15595849312540858,0.1624680959012603,0.1883269400272009,0.3382647818910159,0.39191400024306317,0.47730635835912527,0.6287694519152384,0.543739465742851,0.64619244859921,0.29981381509981087,0.44501890350598244,0.3441101520745677,0.3950488568347392,0.33835010005233174,0.29204707408176084,0.3186748620208013,0.3964732111607023,0.5820290965492024,0.24904823023946956,0.43135643298404813
T1-Shot2,0.15595849312540858,0.0,0.13175306938064907,0.13868957324927944,0.3101041007732722,0.3865537327284694,0.4285087255202041,0.5623562921847189,0.5466724390261725,0.5758558017019703,0.3024851624614746,0.37284542569168877,0.3449076093517729,0.39257738982513457,0.3043373669308036,0.2350321682951147,0.2821992890823928,0.3849440881836867,0.5553276213465698,0.23076207730383047,0.3975458284203126
T1-Shot3,0.1624680959012603,0.13175306938064907,0.0,0.09804137221324699,0.30765868224089016,0.36261477958516736,0.35695469634013594,0.49394580677196465,0.5179118946612347,0.6096107201581216,0.2595840971430446,0.3202078568171777,0.3210047113209617,0.3753400623676175,0.28151514971447633,0.18852304700289368,0.21528422340877318,0.2914735722316821,0.5939378170694417,0.23237420468243097,0.41218214619455246
T1-Shot4,0.1883269400272009,0.13868957324927944,0.09804137221324699,0.0,0.25828922432708395,0.38853782260038267,0.3514989456915293,0.4824259850546566,0.32597622051672226,0.43963216786889986,0.23149482193981738,0.31213178600435587,0.3283068822304391,0.3801661612799455,0.3206543024726233,0.17447338959323358,0.1824282187720082,0.2716813122262198,0.4463053050786177,0.25922493146794506,0.39775568374008663
T1-Shot5,0.3382647818910159,0.3101041007732722,0.30765868224089016,0.25828922432708395,0.0,0.3891508053011753,0.49139110573013955,0.5010632559618459,0.32382790191935495,0.36366718621443517,0.2832805313611622,0.4493589538988138,0.41330934930512253,0.46159043644588876,0.3812460663365044,0.271131395375673,0.26143975669045016,0.36198571633560606,0.37482182898918703,0.36586659864038884,0.47702163498052
T2-Shot1,0.39191400024306317,0.3865537327284694,0.36261477958516736,0.38853782260038267,0.3891508053011753,0.0,0.5955460931596133,0.5602657735962387,0.5072304305284157,0.6125828032257582,0.3463012071041598,0.5553128989569868,0.47576825325722033,0.44235800120185675,0.45723482966531864,0.39889312800032894,0.3173118539052111,0.4986980490926725,0.6115703656354641,0.4006414261613294,0.4853434523248263
T3-Shot1,0.47730635835912527,0.4285087255202041,0.35695469634013594,0.3514989456915293,0.49139110573013955,0.5955460931596133,0.0,0.19344290432093572,0.21662556501731464,0.30103563574413095,0.378664545420312,0.09764020582269921,0.1375656645167311,0.1901211911030588,0.2616491115476571,0.3237123425747631,0.4144822332213758,0.15796702025462983,0.38590645522102957,0.29155002845930106,0.1544913281567556
T3-Shot2,0.6287694519152384,0.5623562921847189,0.49394580677196465,0.4824259850546566,0.5010632559618459,0.5602657735962387,0.19344290432093572,0.0,0.20201562181774813,0.09911747653519748,0.4728237925907859,0.24352999081211005,0.32361439476274056,0.3025309718985054,0.4330370902559621,0.41104742651067777,0.49713821183193563,0.24280089945273828,0.20878508261645007,0.46029988483866763,0.2222360720960085
T3-Shot3,0.543739465742851,0.5466724390261725,0.5179118946612347,0.32597622051672226,0.32382790191935495,0.5072304305284157,0.21662556501731464,0.20201562181774813,0.0,0.1549474097724781,0.35337618332391374,0.2581442903737348,0.3373900933078884,0.36475962588967853,0.44515109805788966,0.33898285945687934,0.3785674110997266,0.21957160110658056,0.27719790883016465,0.45652681483362784,0.2920723543493127
T3-Shot4,0.64619244859921,0.5758558017019703,0.6096107201581216,0.43963216786889986,0.36366718621443517,0.6125828032257582,0.30103563574413095,0.09911747653519748,0.1549474097724781,0.0,0.40179873896094775,0.32326570413685324,0.405752248371964,0.4344814706358209,0.4841517571816644,0.3905698083976619,0.45131505468558447,0.2842395664583546,0.1330612067264788,0.4946896828491563,0.3463768398930822
