,T1-Shot1,T1-Shot2,T1-Shot3,T1-Shot4,T1-Shot5,T2-Shot1,T2-Shot2,T2-Shot3,T2-Shot4,T2-Shot5,T3-Shot1,T3-Shot2,T3-Shot3,T3-Shot4,T3-Shot5,T4-Shot1,T4-Shot2,T4-Shot3,T4-Shot4,T4-Shot5,T5-Shot1,T5-Shot2,T5-Shot3,T5-Shot4,T5-Shot5
T3-Shot5,0.4790990518265702,0.4000495908737022,0.6188254738191709,0.35379659676350744,0.47049086553733255,0.2649400474672228,0.4027540190101426,0.4418068880720693,0.3752989364294075,0.37318909139295225,0.5542925898048321,0.5108842622482267,0.46928588480143585,0.44046868933680333,0.0,0.34059999825057213,0.46680777568615917,0.4130669104231843,0.4255812934743065,0.4532615477658209,0.49499778056820937,0.4818788204940123,0.5214528529589256,0.5464752401757959,0.49206349557880535
T4-Shot1,0.22738969788697194,0.09452718617933265,0.44198059949547175,0.05012132567325458,0.1517435689506107,0.2944620638492521,0.09785954925393825,0.20879003320436637,0.2561231020140834,0.07268212701281726,0.21478291947964073,0.20065744481677356,0.13852680481273533,0.1299044035079387,0.34059999825057213,0.0,0.16926501713805106,0.16010294911551984,0.15436833404415948,0.24712825697738047,0.4980996575866019,0.27275767973569215,0.24227175610832305,0.30190872166600596,0.25516164629003785
T4-Shot2,0.24149800388547227,0.19761488203138777,0.4469760813458508,0.12799425897365174,0.20410185073273762,0.451901770573363,0.15060497135340734,0.2766692463881897,0.23685356441640856,0.12181636037181254,0.17118096894386145,0.19882722610598544,0.12086625814037018,0.16615768170819314,0.46680777568615917,0.16926501713805106,0.0,0.11865401671873545,0.17462069064237118,0.22466079334778868,0.5423416018342281,0.25936706808270654,0.2167458029711082,0.3286543792980734,0.3062959458780259
T4-Shot3,0.2623258052018463,0.15601929098955963,0.4624394836135228,0.11872499359703423,0.19048969894234238,0.41684603994261216,0.14334724727439938,0.22883136141840618,0.25841454701771616,0.13144768765956633,0.21072300969879293,0.18270541543591012,0.16145889062256924,0.1646517525149914,0.4130669104231843,0.16010294911551984,0.11865401671873545,0.0,0.11980531749165513,0.23340580737960767,0.5669273692425776,0.3001684304574631,0.220368666099738,0.26082661870628665,0.2994966874389739
T4-Shot4,0.3125678296785562,0.1454247300505318,0.510854632240478,0.12983510837520063,0.2051014172448191,0.38987991987395215,0.16543887805373766,0.2970411587384733,0.2933232097998709,0.17401025447823765,0.22583931871884577,0.24252613962119673,0.19970645333152284,0.1866002219077123,0.4255812934743065,0.15436833404415948,0.17462069064237118,0.11980531749165513,0.0,0.19280322708165684,0.47335219857832467,0.2482926135258413,0.22529305229893135,0.2559066119817461,0.3041571318696852
T4-Shot5,0.30724922813998246,0.18850958044105584,0.47589245367149435,0.2148558609070464,0.23576891423146648,0.42852860791101405,0.22156879580679856,0.3304215871673722,0.37017628582147,0.24353695571259232,0.21084932332328085,0.23227817207979276,0.20258474078841635,0.18073887420569867,0.4532615477658209,0.24712825697738047,0.22466079334778868,0.23340580737960767,0.19280322708165684,0.0,0.4225862783516011,0.2006541551201041,0.23811406735030063,0.28704007037747403,0.3302359175238524
T5-Shot1,0.5462526692691347,0.4895936813397024,0.3679973598691146,0.5209174421051908,0.4628277984148186,0.5139268118634988,0.5268135237368788,0.4169451009151066,0.5477733922126196,0.5277314133777095,0.471112758238537,0.4935906817163619,0.5453559614967325,0.5286859115141742,0.49499778056820937,0.4980996575866019,0.5423416018342281,0.5669273692425776,0.47335219857832467,0.4225862783516011,0.0,0.26296607152475987,0.33803726440094484,0.3363642115313319,0.3225477740428325
T5-Shot2,0.30070948239508855,0.21797098435895051,0.4270816118394207,0.26499568295252596,0.2492924262713484,0.43676925425804614,0.26927034602716604,0.30309082800416304,0.4046734297747991,0.3134345703723283,0.2588932267002828,0.2533789032183605,0.2865095127126822,0.264375987391107,0.4818788204940123,0.27275767973569215,0.25936706808270654,0.3001684304574631,0.2482926135258413,0.2006541551201041,0.26296607152475987,0.0,0.13567002250066318,0.13105965867784222,0.1525531909309342
T5-Shot3,0.23861499290404278,0.2361660466639512,0.38648253488082135,0.25761281519896395,0.27073881509238257,0.4393089073098905,0.20075489660376328,0.2552613566952581,0.3639831371694942,0.23690831373100035,0.22040053002842364,0.21597181094037404,0.222778587071051,0.23198074136402852,0.5214528529589256,0.24227175610832305,0.2167458029711082,0.220368666099738,0.22529305229893135,0.23811406735030063,0.33803726440094484,0.13567002250066318,0.0,0.1442242177555183,0.1167882678722385
T5-Shot4,0.3378660983821682,0.27274548004779353,0.45639446370704234,0.288024301046532,0.25206344953118354,0.4679275336298676,0.28224056305793505,0.29904449380192005,0.44371717672273553,0.3101671297141012,0.2510245441488353,0.2650686783564847,0.31437117268667353,0.2993087959756319,0.5464752401757959,0.30190872166600596,0.3286543792980734,0.26082661870628665,0.2559066119817461,0.28704007037747403,0.3363642115313319,0.13105965867784222,0.1442242177555183,0.0,0.1562572353389893
T5-Shot5,0.24244185422914674,0.24573577376513323,0.37434716741580526,0.2864795242273288,0.3249142833361881,0.39544944911085966,0.2626075119481616,0.24619125864459107,0.4189568945796447,0.27101901705375886,0.29054146647746004,0.2878841263274877,0.3155541125091034,0.2651787470952608,0.49206349557880535,0.25516164629003785,0.3062959458780259,0.2994966874389739,0.3041571318696852,0.3302359175238524,0.3225477740428325,0.1525531909309342,0.1167882678722385,0.1562572353389893,0.0
