Tiro,SensorId,TimeStamp (s),FrameNumber,AccX (g),AccY (g),AccZ (g),GyroX (deg/s),GyroY (deg/s),GyroZ (deg/s),LinAccX (g),LinAccY (g),LinAccZ (g)
1,LPMSB2-4B3285,0.0,1,-0.13271617889404297,-0.6907342672348022,0.11659231781959534,0.2974165380001068,10.772322654724121,-48.066986083984375,0.3239529481789998,-0.0663344009193636,-0.517109814158303
1,LPMSB2-4B3322,0.0,1,0.18955272436141968,-0.8964430093765259,-0.2643858790397644,-11.999553680419922,-9.943509101867676,-21.541858673095703,0.22354326040689543,-1.8943109174139092,-0.32010303193042233
1,LPMSB2-4B339F,0.0,1,-0.114013671875,-0.746826171875,-0.60107421875,3.0121872425079346,48.94476318359375,8.520313262939453,0.15765025113631648,0.03378712382530802,-1.163961367980804
1,LPMSB2-4B3285,0.0049999999999954525,2,-0.06045585870742798,-0.6959317922592163,0.12183976918458939,7.106109619140625,7.776769161224365,-42.68681716918945,0.43915041276734357,-0.08043963877351601,-0.4877199639038423
1,LPMSB2-4B3322,0.0049999999999954525,2,0.18955272436141968,-0.8964430093765259,-0.2643858790397644,-11.999553680419922,-9.943509101867676,-21.541858673095703,0.22354326040689543,-1.8943109174139092,-0.32010303193042233
1,LPMSB2-4B339F,0.0049999999999954525,2,-0.114013671875,-0.746826171875,-0.60107421875,3.0121872425079346,48.94476318359375,8.520313262939453,0.15765025113631648,0.03378712382530802,-1.163961367980804
1,LPMSB2-4B3285,0.009999999999990905,3,-0.007932530716061592,-0.7132763862609863,0.08876314759254456,4.1749372482299805,6.485466957092285,-40.71736145019531,0.491259070134912,-0.0955067592586476,-0.5188296650550601
1,LPMSB2-4B3322,0.009999999999990905,3,0.18955272436141968,-0.8964430093765259,-0.2643858790397644,-11.999553680419922,-9.943509101867676,-21.541858673095703,0.22354326040689543,-1.8943109174139092,-0.32010303193042233
1,LPMSB2-4B339F,0.009999999999990905,3,-0.114013671875,-0.746826171875,-0.60107421875,3.0121872425079346,48.94476318359375,8.520313262939453,0.15765025113631648,0.03378712382530802,-1.163961367980804
1,LPMSB2-4B3285,0.014999999999986358,4,-0.032004114240407944,-0.7739073038101196,0.07233383506536484,-0.17789745330810547,5.395132541656494,-37.463134765625,0.4666151523955273,-0.1541147243399319,-0.5336663903068768
1,LPMSB2-4B3322,0.014999999999986358,4,0.18955272436141968,-0.8964430093765259,-0.2643858790397644,-11.999553680419922,-9.943509101867676,-21.541858673095703,0.22354326040689543,-1.8943109174139092,-0.32010303193042233
1,LPMSB2-4B339F,0.014999999999986358,4,-0.114013671875,-0.746826171875,-0.60107421875,3.0121872425079346,48.94476318359375,8.520313262939453,0.15765025113631648,0.03378712382530802,-1.163961367980804
1,LPMSB2-4B3285,0.01999999999998181,5,-0.11348391324281693,-0.7946805953979492,0.051537446677684784,-2.457005262374878,6.753204345703125,-32.424346923828125,0.38440690012316736,-0.1730607933842805,-0.5531890409256448
1,LPMSB2-4B3322,0.01999999999998181,5,0.18955272436141968,-0.8964430093765259,-0.2643858790397644,-11.999553680419922,-9.943509101867676,-21.541858673095703,0.22354326040689543,-1.8943109174139092,-0.32010303193042233
