,T1-Shot1,T1-Shot2,T1-Shot3,T1-Shot4,T1-Shot5,T2-Shot1,T2-Shot2,T2-Shot3,T2-Shot4,T2-Shot5,T3-Shot1,T3-Shot2,T3-Shot3,T3-Shot4,T3-Shot5,T4-Shot1,T4-Shot2,T4-Shot3,T4-Shot4,T4-Shot5,T5-Shot1
T3-Shot2,0.18268283345113262,0.3201343491841655,0.12612194007796151,0.24725614967436055,0.4165501639299021,0.4128113943681568,0.2617013424518194,0.25389018415853,0.2580915910756131,0.31630344066538457,0.2894509817966922,0.0,0.3304443986114061,0.3149012643713467,0.20406629407068066,0.2738987609379025,0.27026903434130106,0.28591620992131095,0.35990641235064824,0.15144338833411383,0.3606716976969132
T3-Shot3,0.3845591036985246,0.3329455552385932,0.30310589553960793,0.2765632876172114,0.24422062813243756,0.3956930842417911,0.23392325907296,0.20817354539365676,0.2639932930816757,0.11255760960395615,0.2831962638724513,0.3304443986114061,0.0,0.2739885232930479,0.4054520773555026,0.4182017540278577,0.2848049473805768,0.40679623971066253,0.27739459201153155,0.4050464643900154,0.34813657042078167
T3-Shot4,0.34015745509405915,0.33048184021473115,0.2812653055185651,0.23900040480060555,0.29638529673157454,0.40080596635102217,0.4447490336777295,0.41803074818552177,0.28419273973248843,0.28193573051069937,0.15872406228760097,0.3149012643713467,0.2739885232930479,0.0,0.28746909276811505,0.4162504603633081,0.20087323387580766,0.2273593208086749,0.18232971115210522,0.412088453171491,0.2633525521941597
T3-Shot5,0.2967613212222242,0.47116743573479997,0.2821916026311222,0.3902671076577876,0.4612053832039438,0.593583011431741,0.4143198877231877,0.3860384907229358,0.3851029384657736,0.42271852047415526,0.38596569334026437,0.20406629407068066,0.4054520773555026,0.28746909276811505,0.0,0.2939760795452973,0.21113727161423487,0.2633539834615183,0.3021150460363563,0.23510189422291614,0.3884582701634204
T4-Shot1,0.3540304117561148,0.4940077271746831,0.2828391144166091,0.42249333687662816,0.532621763548647,0.5814160941035913,0.3964952451911321,0.37363624628171765,0.432720388360284,0.4970990686746643,0.44362465868281864,0.2738987609379025,0.4182017540278577,0.4162504603633081,0.2939760795452973,0.0,0.3449771985728125,0.3028384515704966,0.2980899026590401,0.23802618442719417,0.48434802961032264
T4-Shot2,0.38759877525640263,0.35847329193501876,0.3318489373489224,0.2828880774920328,0.35819649885721616,0.5025574068037186,0.468947365375812,0.4464819006352423,0.2950505565812373,0.30519405632047564,0.2597433709585974,0.27026903434130106,0.2848049473805768,0.20087323387580766,0.21113727161423487,0.3449771985728125,0.0,0.21012679063851505,0.22940234303609922,0.31478857154121553,0.2960363753686218
T4-Shot3,0.420256109718904,0.4105222253224377,0.3718106975804725,0.4392559393662988,0.41314330285290085,0.5343056646161548,0.545678386481415,0.54829874641598,0.3488191390936668,0.38533585816730115,0.2794471467996257,0.28591620992131095,0.40679623971066253,0.2273593208086749,0.2633539834615183,0.3028384515704966,0.21012679063851505,0.0,0.2867689819647455,0.29911802756601275,0.34456118598646435
T4-Shot4,0.43689134749021935,0.3400100717486959,0.3553092983297988,0.2997231483920524,0.37303934196550187,0.49535236293610385,0.4370563582003283,0.4038839213089698,0.29432432248896623,0.3120814598026605,0.2994499635248247,0.35990641235064824,0.27739459201153155,0.18232971115210522,0.3021150460363563,0.2980899026590401,0.22940234303609922,0.2867689819647455,0.0,0.36257501451752616,0.23164683396309982
T4-Shot5,0.3259964959604212,0.40932968062770536,0.2581913452702829,0.40940792453845715,0.5267264390148012,0.5534872715299434,0.3361953943265608,0.2982235309975131,0.3256753252333031,0.4540731512550933,0.47824319958028777,0.15144338833411383,0.4050464643900154,0.412088453171491,0.23510189422291614,0.23802618442719417,0.31478857154121553,0.29911802756601275,0.36257501451752616,0.0,0.4378605630307226
T5-Shot1,0.3273633586696977,0.222415462036615,0.3303926232070196,0.20003299977788455,0.29645844990542375,0.2296605165676021,0.3488443988565735,0.3560990436708879,0.1931088994405523,0.2680639598360243,0.2207404018135435,0.3606716976969132,0.34813657042078167,0.2633525521941597,0.3884582701634204,0.48434802961032264,0.2960363753686218,0.34456118598646435,0.23164683396309982,0.4378605630307226,0.0
