File,SensorId,Sensor_Location,Feature,Tiro_A,Tiro_B,DTW_Distance
data_P1_tanda_3.csv,LPMSB2-4B339F,Brazo,AccZ (g)_sg,3,5,0.034738882390221985
data_P1_tanda_3.csv,LPMSB2-4B339F,Brazo,AccZ (g)_sg,4,5,0.036186528482377356
data_P1_tanda_3.csv,LPMSB2-4B3285,Mano de Suelta,AccZ (g)_sg,1,2,0.022300206050599965
data_P1_tanda_3.csv,LPMSB2-4B3285,Mano de Suelta,AccZ (g)_sg,1,3,0.04510637723119939
data_P1_tanda_3.csv,LPMSB2-4B3285,Mano de Suelta,AccZ (g)_sg,1,4,0.04255360187434473
data_P1_tanda_3.csv,LPMSB2-4B3285,Mano de Suelta,AccZ (g)_sg,1,5,0.03639730084171511
data_P1_tanda_3.csv,LPMSB2-4B3285,Mano de Suelta,AccZ (g)_sg,2,3,0.011058698992506971
data_P1_tanda_3.csv,LPMSB2-4B3285,Mano de Suelta,AccZ (g)_sg,2,4,0.0107012322594521
data_P1_tanda_3.csv,LPMSB2-4B3285,Mano de Suelta,AccZ (g)_sg,2,5,0.04478279765590921
data_P1_tanda_3.csv,LPMSB2-4B3285,Mano de Suelta,AccZ (g)_sg,3,4,0.008194350801472286
data_P1_tanda_3.csv,LPMSB2-4B3285,Mano de Suelta,AccZ (g)_sg,3,5,0.065333421560824
data_P1_tanda_3.csv,LPMSB2-4B3285,Mano de Suelta,AccZ (g)_sg,4,5,0.05210725688838052
data_P1_tanda_4.csv,LPMSB2-4B3322,Mano de Arco,AccZ (g)_sg,1,2,0.16165864467620839
data_P1_tanda_4.csv,LPMSB2-4B3322,Mano de Arco,AccZ (g)_sg,1,3,0.14814743399620042
data_P1_tanda_4.csv,LPMSB2-4B3322,Mano de Arco,AccZ (g)_sg,1,4,0.25647863745689387
data_P1_tanda_4.csv,LPMSB2-4B3322,Mano de Arco,AccZ (g)_sg,1,5,0.29326447844505316
data_P1_tanda_4.csv,LPMSB2-4B3322,Mano de Arco,AccZ (g)_sg,2,3,0.013511210680007936
data_P1_tanda_4.csv,LPMSB2-4B3322,Mano de Arco,AccZ (g)_sg,2,4,0.0948199927806854
data_P1_tanda_4.csv,LPMSB2-4B3322,Mano de Arco,AccZ (g)_sg,2,5,0.13160583376884463
data_P1_tanda_4.csv,LPMSB2-4B3322,Mano de Arco,AccZ (g)_sg,3,4,0.10833120346069343
data_P1_tanda_4.csv,LPMSB2-4B3322,Mano de Arco,AccZ (g)_sg,3,5,0.14511704444885257
data_P1_tanda_4.csv,LPMSB2-4B3322,Mano de Arco,AccZ (g)_sg,4,5,0.03678584098815919
data_P1_tanda_4.csv,LPMSB2-4B339F,Brazo,AccZ (g)_sg,1,2,0.02366506710085445
data_P1_tanda_4.csv,LPMSB2-4B339F,Brazo,AccZ (g)_sg,1,3,0.03161489032319315
data_P1_tanda_4.csv,LPMSB2-4B339F,Brazo,AccZ (g)_sg,1,4,0.033131920181283706
data_P1_tanda_4.csv,LPMSB2-4B339F,Brazo,AccZ (g)_sg,1,5,0.05615083970108715
data_P1_tanda_4.csv,LPMSB2-4B339F,Brazo,AccZ (g)_sg,2,3,0.016503639596914973
data_P1_tanda_4.csv,LPMSB2-4B339F,Brazo,AccZ (g)_sg,2,4,0.014722138035769829
data_P1_tanda_4.csv,LPMSB2-4B339F,Brazo,AccZ (g)_sg,2,5,0.05436964889068013
data_P1_tanda_4.csv,LPMSB2-4B339F,Brazo,AccZ (g)_sg,3,4,0.01803975054862409
data_P1_tanda_4.csv,LPMSB2-4B339F,Brazo,AccZ (g)_sg,3,5,0.07299957712986026
data_P1_tanda_4.csv,LPMSB2-4B339F,Brazo,AccZ (g)_sg,4,5,0.06244627273456652
data_P1_tanda_4.csv,LPMSB2-4B3285,Mano de Suelta,AccZ (g)_sg,1,2,0.019033620408488463
data_P1_tanda_4.csv,LPMSB2-4B3285,Mano de Suelta,AccZ (g)_sg,1,3,0.02214670002242149
data_P1_tanda_4.csv,LPMSB2-4B3285,Mano de Suelta,AccZ (g)_sg,1,4,0.040936341362738785
data_P1_tanda_4.csv,LPMSB2-4B3285,Mano de Suelta,AccZ (g)_sg,1,5,0.03492253683020513
data_P1_tanda_4.csv,LPMSB2-4B3285,Mano de Suelta,AccZ (g)_sg,2,3,0.012581164657952885
data_P1_tanda_4.csv,LPMSB2-4B3285,Mano de Suelta,AccZ (g)_sg,2,4,0.02408118332887244
data_P1_tanda_4.csv,LPMSB2-4B3285,Mano de Suelta,AccZ (g)_sg,2,5,0.042575968328482656
data_P1_tanda_4.csv,LPMSB2-4B3285,Mano de Suelta,AccZ (g)_sg,3,4,0.025469870186917227
data_P1_tanda_4.csv,LPMSB2-4B3285,Mano de Suelta,AccZ (g)_sg,3,5,0.03479268728899123
data_P1_tanda_4.csv,LPMSB2-4B3285,Mano de Suelta,AccZ (g)_sg,4,5,0.027077958477268443
data_P1_tanda_5.csv,LPMSB2-4B3322,Mano de Arco,AccZ (g)_sg,1,2,0.19104787707328805
data_P1_tanda_5.csv,LPMSB2-4B3322,Mano de Arco,AccZ (g)_sg,1,3,0.16399809718132008
data_P1_tanda_5.csv,LPMSB2-4B3322,Mano de Arco,AccZ (g)_sg,1,4,0.06660532951354872
data_P1_tanda_5.csv,LPMSB2-4B3322,Mano de Arco,AccZ (g)_sg,1,5,0.211255967617035
data_P1_tanda_5.csv,LPMSB2-4B3322,Mano de Arco,AccZ (g)_sg,2,3,0.027049779891967777
data_P1_tanda_5.csv,LPMSB2-4B3322,Mano de Arco,AccZ (g)_sg,2,4,0.25765320658683755
data_P1_tanda_5.csv,LPMSB2-4B3322,Mano de Arco,AccZ (g)_sg,2,5,0.020208090543746966
data_P1_tanda_5.csv,LPMSB2-4B3322,Mano de Arco,AccZ (g)_sg,3,4,0.2306034266948698
data_P1_tanda_5.csv,LPMSB2-4B3322,Mano de Arco,AccZ (g)_sg,3,5,0.047257870435714736
data_P1_tanda_5.csv,LPMSB2-4B3322,Mano de Arco,AccZ (g)_sg,4,5,0.27786129713058466
