,T1-Shot1,T1-Shot2,T1-Shot3,T1-Shot4,T1-Shot5,T2-Shot1,T2-Shot2,T2-Shot3,T2-Shot4,T2-Shot5,T3-Shot1,T3-Shot2,T3-Shot3,T3-Shot4,T3-Shot5,T4-Shot1,T4-Shot2,T4-Shot3,T4-Shot4,T4-Shot5,T5-Shot1
T1-Shot1,0.0,0.22082164860200038,0.15382927236120877,0.21366268960575177,0.31587050165022756,0.41918945796897616,0.36547932618057893,0.3626223320008049,0.3828383880345621,0.404522324046844,0.36020190360708293,0.3279302963971926,0.4281572542808633,0.38295741155045937,0.3806048315145021,0.3987120421283301,0.40764742955276534,0.3854040922410498,0.46717456956782066,0.39552320210254943,0.3724438272887429
T1-Shot2,0.22082164860200038,0.0,0.28939485347489746,0.20203613353034452,0.24733183530804498,0.31031943625036323,0.3575471109685927,0.37642010587787855,0.28155150112254235,0.3567984621551863,0.2962181338837715,0.35509671441677954,0.35998306060839463,0.38532703271508006,0.4896246722092831,0.4739923950990071,0.4110811535766594,0.4048262501523104,0.4093316966452903,0.39897829492364223,0.2989712279108855
T1-Shot3,0.15382927236120877,0.28939485347489746,0.0,0.18048376131011723,0.2815724892447318,0.3898172922089869,0.2867274446432556,0.2915316819684184,0.32625184966808035,0.3353294387846096,0.3118716329426858,0.22848135186372462,0.2989149132788053,0.2801204644829967,0.31263911826529583,0.3115615403962548,0.30706506638387276,0.3205579468439649,0.3462780800505281,0.32075618434430625,0.33450073046385387
T1-Shot4,0.21366268960575177,0.20203613353034452,0.18048376131011723,0.0,0.18825995442320786,0.23963901919599107,0.2815507997563748,0.28324072491091956,0.20898398523847211,0.26544911737499266,0.26135515767619605,0.31852583753804214,0.3207399650895984,0.31236524982066904,0.38185792455502815,0.40569771156340156,0.30781014222920955,0.37602897345998043,0.3422723772984286,0.36794112376720733,0.22860089849572635
T1-Shot5,0.31587050165022756,0.24733183530804498,0.2815724892447318,0.18825995442320786,0.0,0.28424232437638974,0.23134950548322294,0.26656900908790093,0.29169856281948653,0.2108460889819428,0.2391019072024558,0.37546919296255626,0.3047991720466775,0.32842432253562115,0.40541663796007227,0.4510365082746828,0.3284061238840754,0.3398760447498704,0.3569426631309789,0.39472684276281617,0.24198306074120918
T2-Shot1,0.41918945796897616,0.31031943625036323,0.3898172922089869,0.23963901919599107,0.28424232437638974,0.0,0.2732787802460279,0.2827643687830869,0.18809223602703745,0.26568162700646164,0.3023127434298374,0.39349276496334007,0.38055908539231154,0.4264460414906925,0.5385901558384649,0.5445514005974741,0.46182776279134724,0.4902914952693061,0.4763281820870515,0.44361093139976554,0.26805239924453517
T2-Shot2,0.36547932618057893,0.3575471109685927,0.2867274446432556,0.2815507997563748,0.23134950548322294,0.2732787802460279,0.0,0.10396283452119975,0.2227458222372027,0.18864999848784642,0.2873141192036413,0.2851656933444179,0.26670965766054794,0.41987813326340767,0.3897671156818334,0.38477108462645615,0.403287637109479,0.4680464795750261,0.3895044599684643,0.2817289222343278,0.30455676525245745
T2-Shot3,0.3626223320008049,0.37642010587787855,0.2915316819684184,0.28324072491091956,0.26656900908790093,0.2827643687830869,0.10396283452119975,0.0,0.19791258922590285,0.1546543777425537,0.3004656247286704,0.2501261236147909,0.22401733163782872,0.3893552347853196,0.37219716149382304,0.38363590191909414,0.3854568474665508,0.4661677648093511,0.38019410632154466,0.24401890134765405,0.30103014061931943
T2-Shot4,0.3828383880345621,0.28155150112254235,0.32625184966808035,0.20898398523847211,0.29169856281948653,0.18809223602703745,0.2227458222372027,0.19791258922590285,0.0,0.17022822686859262,0.245336406172676,0.25852076615508984,0.2551165028955016,0.34329948550512557,0.3957860575528645,0.43195784029605977,0.32238699788627523,0.3847216549766975,0.3340068872420408,0.2712596877858098,0.23588117702149886
T2-Shot5,0.404522324046844,0.3567984621551863,0.3353294387846096,0.26544911737499266,0.2108460889819428,0.26568162700646164,0.18864999848784642,0.1546543777425537,0.17022822686859262,0.0,0.26647659550398517,0.2809482430695601,0.16527587948867073,0.30890681290622407,0.42011572284262994,0.46303071737968804,0.3212573668528444,0.3882760087417693,0.3249577020353882,0.34111846723855366,0.25931037924569594
T3-Shot1,0.36020190360708293,0.2962181338837715,0.3118716329426858,0.26135515767619605,0.2391019072024558,0.3023127434298374,0.2873141192036413,0.3004656247286704,0.245336406172676,0.26647659550398517,0.0,0.24103417551694165,0.2595281254190162,0.21983274345177112,0.4028528617593501,0.37540962040436887,0.3200032931602219,0.34788685955025694,0.31862840369280443,0.385688239747471,0.26235042156827837
T3-Shot2,0.3279302963971926,0.35509671441677954,0.22848135186372462,0.31852583753804214,0.37546919296255626,0.39349276496334007,0.2851656933444179,0.2501261236147909,0.25852076615508984,0.2809482430695601,0.24103417551694165,0.0,0.23047902662732492,0.2514133784859837,0.25636399917328345,0.27042950557044493,0.28903670500206796,0.32210186339159314,0.35307542922211776,0.22027666085425845,0.36111801414013245
T3-Shot3,0.4281572542808633,0.35998306060839463,0.2989149132788053,0.3207399650895984,0.3047991720466775,0.38055908539231154,0.26670965766054794,0.22401733163782872,0.2551165028955016,0.16527587948867073,0.2595281254190162,0.23047902662732492,0.0,0.21023889186188066,0.38299488487122035,0.3764834425684531,0.3023415913804152,0.41778999640701464,0.3059848003217557,0.3625633341537545,0.355252622593817
T3-Shot4,0.38295741155045937,0.38532703271508006,0.2801204644829967,0.31236524982066904,0.32842432253562115,0.4264460414906925,0.41987813326340767,0.3893552347853196,0.34329948550512557,0.30890681290622407,0.21983274345177112,0.2514133784859837,0.21023889186188066,0.0,0.28226981346574465,0.33691365872618795,0.236366027123222,0.28832627647808173,0.22819506638742848,0.3939539158418155,0.3004921807040303
T3-Shot5,0.3806048315145021,0.4896246722092831,0.31263911826529583,0.38185792455502815,0.40541663796007227,0.5385901558384649,0.3897671156818334,0.37219716149382304,0.3957860575528645,0.42011572284262994,0.4028528617593501,0.25636399917328345,0.38299488487122035,0.28226981346574465,0.0,0.24985393962200536,0.1874960369509273,0.23031703343680116,0.2367219065562161,0.259120144657992,0.3626461279210256
T4-Shot1,0.3987120421283301,0.4739923950990071,0.3115615403962548,0.40569771156340156,0.4510365082746828,0.5445514005974741,0.38477108462645615,0.38363590191909414,0.43195784029605977,0.46303071737968804,0.37540962040436887,0.27042950557044493,0.3764834425684531,0.33691365872618795,0.24985393962200536,0.0,0.30353878074737867,0.29053576055404956,0.2712365133986764,0.2856272120390137,0.4228346702340171
T4-Shot2,0.40764742955276534,0.4110811535766594,0.30706506638387276,0.30781014222920955,0.3284061238840754,0.46182776279134724,0.403287637109479,0.3854568474665508,0.32238699788627523,0.3212573668528444,0.3200032931602219,0.28903670500206796,0.3023415913804152,0.236366027123222,0.1874960369509273,0.30353878074737867,0.0,0.1882353343964834,0.18531647271667512,0.2760367052536689,0.2944677069042993
T4-Shot3,0.3854040922410498,0.4048262501523104,0.3205579468439649,0.37602897345998043,0.3398760447498704,0.4902914952693061,0.4680464795750261,0.4661677648093511,0.3847216549766975,0.3882760087417693,0.34788685955025694,0.32210186339159314,0.41778999640701464,0.28832627647808173,0.23031703343680116,0.29053576055404956,0.1882353343964834,0.0,0.23628681907084026,0.2864410896958154,0.2825182480808572
T4-Shot4,0.46717456956782066,0.4093316966452903,0.3462780800505281,0.3422723772984286,0.3569426631309789,0.4763281820870515,0.3895044599684643,0.38019410632154466,0.3340068872420408,0.3249577020353882,0.31862840369280443,0.35307542922211776,0.3059848003217557,0.22819506638742848,0.2367219065562161,0.2712365133986764,0.18531647271667512,0.23628681907084026,0.0,0.3080519420758554,0.2265430668123844
T4-Shot5,0.39552320210254943,0.39897829492364223,0.32075618434430625,0.36794112376720733,0.39472684276281617,0.44361093139976554,0.2817289222343278,0.24401890134765405,0.2712596877858098,0.34111846723855366,0.385688239747471,0.22027666085425845,0.3625633341537545,0.3939539158418155,0.259120144657992,0.2856272120390137,0.2760367052536689,0.2864410896958154,0.3080519420758554,0.0,0.3362047695226865
T5-Shot1,0.3724438272887429,0.2989712279108855,0.33450073046385387,0.22860089849572635,0.24198306074120918,0.26805239924453517,0.30455676525245745,0.30103014061931943,0.23588117702149886,0.25931037924569594,0.26235042156827837,0.36111801414013245,0.355252622593817,0.3004921807040303,0.3626461279210256,0.4228346702340171,0.2944677069042993,0.2825182480808572,0.2265430668123844,0.3362047695226865,0.0
