,T1-Shot1,T1-Shot2,T1-Shot3,T1-Shot4,T1-Shot5,T2-Shot1,T2-Shot2,T2-Shot3,T3-Shot1,T3-Shot2,T3-Shot3,T3-Shot4,T3-Shot5,T4-Shot1,T4-Shot2,T4-Shot3,T4-Shot4,T4-Shot5,T5-Shot1,T5-Shot2,T5-Shot3,T5-Shot4,T5-Shot5
T1-Shot1,0.0,0.39396136366258605,0.4180985559777581,0.4340014776864663,0.38974861434428093,0.4470777359437408,0.38485683264982856,0.4110669966973252,0.540669233878824,0.471159091232468,0.6010544670605329,0.6014879417722464,0.5977906553533521,0.6962869341151108,0.5665389974740358,0.5792852611213402,0.5254669682286439,0.5617491173317088,0.5904125792064829,0.5921377460149665,0.5438347474200624,0.6806841681033444,0.4652368579693702
T1-Shot2,0.39396136366258605,0.0,0.09066218492883651,0.11170731240438177,0.10802062446437023,0.3061153792573233,0.08889936422270545,0.18759377970862542,0.31878227967002926,0.17250573218517276,0.2643939838108595,0.3280771513785564,0.305488052446319,0.33470880462756547,0.2710269912761466,0.2945547060449145,0.2860859265294373,0.2489366584696061,0.34522376449749553,0.3008835070246123,0.27089340181727023,0.3409245001753849,0.22642662231812904
T1-Shot3,0.4180985559777581,0.09066218492883651,0.0,0.06765340940926749,0.10079274974453412,0.15950062523499886,0.090678741918798,0.1444564589515564,0.3683475638731041,0.2065916241715189,0.3207025450673798,0.28371003706572956,0.2742833616996402,0.348075297574468,0.24848524371202338,0.24286712165543353,0.23090992643325917,0.2601008603601092,0.32095144506945705,0.2595446025318561,0.24167779434430012,0.36029497116251874,0.20362701510875578
T1-Shot4,0.4340014776864663,0.11170731240438177,0.06765340940926749,0.0,0.07699336284513662,0.12869661918940492,0.0788894879367233,0.07006761746423201,0.29344507930160674,0.22834638184078226,0.27626870982714347,0.34303208722147827,0.3176330776975336,0.31996930843118343,0.2478242472652888,0.25214967080207507,0.2671657718812357,0.2505302293793692,0.2826524531970241,0.28533132429989133,0.24450101126392643,0.34923517973535323,0.21703535743571103
T1-Shot5,0.38974861434428093,0.10802062446437023,0.10079274974453412,0.07699336284513662,0.0,0.20554513929904494,0.04924260474831363,0.06423845920901756,0.33408464797036896,0.1972839872477681,0.32261210640881716,0.28687938730179274,0.29339298260225893,0.3476818740248237,0.19055321398072944,0.21941239846757302,0.21879343779325866,0.23764694887931517,0.32562406529392235,0.26508893364325253,0.2023295970794279,0.31519615832022113,0.20205044080365406
T2-Shot1,0.4470777359437408,0.3061153792573233,0.15950062523499886,0.12869661918940492,0.20554513929904494,0.0,0.23546027330273434,0.19873119528484365,0.4044931928765278,0.3475407569999003,0.39778177524736286,0.4239054840752696,0.4117856240011499,0.43956250535172103,0.3615206820305919,0.35825506779760713,0.3748946110782192,0.36620535375312324,0.37869231544235477,0.3889771732551627,0.3408570312823731,0.4389230359279975,0.32885479244646887
T2-Shot2,0.38485683264982856,0.08889936422270545,0.090678741918798,0.0788894879367233,0.04924260474831363,0.23546027330273434,0.0,0.07564492598517633,0.3161653253930306,0.17438519675612202,0.2868503794472832,0.2619744845162597,0.2538370658616393,0.3213434889050374,0.20055798302754543,0.2142679586951647,0.2172564355909291,0.2029808485214191,0.29200558478120653,0.2426816068730976,0.18078395479789364,0.2949389763099111,0.19068728508320495
T2-Shot3,0.4110669966973252,0.18759377970862542,0.1444564589515564,0.07006761746423201,0.06423845920901756,0.19873119528484365,0.07564492598517633,0.0,0.3161980231947973,0.20825995137994346,0.2717204195517683,0.3272759494408745,0.3207509579992231,0.35627464793150243,0.23876209090690853,0.2675895924070345,0.2805770628074837,0.27045679556420865,0.3234253235825116,0.29591009127041873,0.24798371808707614,0.36827006711257826,0.2521917945292192
T3-Shot1,0.540669233878824,0.31878227967002926,0.3683475638731041,0.29344507930160674,0.33408464797036896,0.4044931928765278,0.3161653253930306,0.3161980231947973,0.0,0.23555693330105257,0.20922215712255032,0.2525723065460032,0.22835723630841193,0.32521762178863084,0.20948843815513749,0.24123725014790814,0.27694979177501,0.23494594003855415,0.2702398097582109,0.2823918398822119,0.24002444614551832,0.3275652925057336,0.2624433814793055
T3-Shot2,0.471159091232468,0.17250573218517276,0.2065916241715189,0.22834638184078226,0.1972839872477681,0.3475407569999003,0.17438519675612202,0.20825995137994346,0.23555693330105257,0.0,0.1454001918568677,0.13118037309751643,0.14376121578437628,0.25945703467873815,0.1662569875348759,0.17207442972357692,0.17764034464415857,0.10464466341830601,0.28136368750292184,0.15344130340977163,0.1331554127059184,0.19794361956277579,0.07496496922831562
