Tiro,SensorId,TimeStamp (s),FrameNumber,AccX (g),AccY (g),AccZ (g),GyroX (deg/s),GyroY (deg/s),GyroZ (deg/s),LinAccX (g),LinAccY (g),LinAccZ (g)
1,LPMSB2-4B3285,0.0,1,-0.1934502273797989,-0.5394268035888672,-0.5122144818305969,-12.709797859191895,-18.58730697631836,9.586488723754883,-0.3507237909932641,-1.2347787868117805,-1.2134637855266703
1,LPMSB2-4B3322,0.0,1,-0.11481224745512009,-1.008765697479248,-0.1262178122997284,-8.346112251281738,-2.180756092071533,0.9827427864074707,-1.031691532686196,-0.6180219190692355,-0.044659450780393684
1,LPMSB2-4B339F,0.0,1,0.851806640625,-0.95751953125,-0.030029296875,-87.73898315429688,224.8553009033203,-52.28507614135742,0.9690899899120744,-0.40834814495279304,-0.8574689618883014
1,LPMSB2-4B3285,0.0049999999999954525,2,-0.19324888288974762,-0.597646951675415,-0.5272181630134583,-7.302900791168213,-18.77031898498535,8.98751449584961,-0.351165472586338,-1.291734469837884,-1.2295751142751854
1,LPMSB2-4B3322,0.0049999999999954525,2,-0.110239677131176,-0.9968118667602539,-0.1325284242630005,-9.474664688110352,-0.4535146951675415,1.385535717010498,-1.0270832424088354,-0.6060364748251956,-0.05072022584557345
1,LPMSB2-4B339F,0.0049999999999954525,2,0.88330078125,-0.942626953125,-0.04150390625,-94.17898559570312,223.1053009033203,-52.49507522583008,0.9913609891748933,-0.38887710343695225,-0.8671457940414218
1,LPMSB2-4B3285,0.009999999999990905,3,-0.17766189575195312,-0.642245888710022,-0.49656471610069275,-1.975062370300293,-21.346080780029297,7.911890506744385,-0.3367040943229256,-1.3351445649893918,-1.1998410078563921
1,LPMSB2-4B3322,0.009999999999990905,3,-0.10021799057722092,-0.9884105324745178,-0.12650412321090698,-9.581512451171875,0.6541880965232849,1.5058587789535522,-1.0170637213086167,-0.5976929286698294,-0.044443513198331175
1,LPMSB2-4B339F,0.009999999999990905,3,0.9296875,-0.935302734375,-0.056396484375,-100.12898254394531,221.46029663085938,-52.670074462890625,1.0280324635050828,-0.37689304050904404,-0.8801119954369074
1,LPMSB2-4B3285,0.014999999999986358,4,-0.19529356062412262,-0.6797921657562256,-0.48024117946624756,-2.2995095252990723,-24.241497039794922,6.515024662017822,-0.3555941498774553,-1.371448443491874,-1.1844541096164338
1,LPMSB2-4B3322,0.014999999999986358,4,-0.09604761749505997,-0.9966616630554199,-0.12432831525802612,-8.486320495605469,1.452026605606079,1.662122368812561,-1.0129243756139417,-0.6060686713467547,-0.042023126755523776
1,LPMSB2-4B339F,0.014999999999986358,4,0.953125,-0.940185546875,-0.07666015625,-102.6839828491211,221.4952850341797,-52.320072174072266,1.0414491850292045,-0.37724660270292176,-0.8984257187956359
1,LPMSB2-4B3285,0.01999999999998181,5,-0.2537195682525635,-0.6956210136413574,-0.4944550693035126,-3.050586223602295,-30.32091522216797,4.101288795471191,-0.41555722805039874,-1.3858992525567753,-1.1996676090773182
1,LPMSB2-4B3322,0.01999999999998181,5,-0.09700989723205566,-0.9966906309127808,-0.12239013612270355,-7.134006977081299,1.967897653579712,2.4760258197784424,-1.01393534522785,-0.6062736368426691,-0.039793362312773084
1,LPMSB2-4B339F,0.01999999999998181,5,0.979736328125,-0.94970703125,-0.114990234375,-102.64897918701172,222.02027893066406,-51.235076904296875,1.0578897889367465,-0.3825321012421039,-0.9348714042322541
1,LPMSB2-4B3285,0.024999999999977263,6,-0.29345476627349854,-0.6995353698730469,-0.5694838762283325,-3.678809881210327,-31.93238067626953,1.3368066549301147,-0.4424386143667798,-1.3135574314025829,-1.3445844999078904
1,LPMSB2-4B3322,0.024999999999977263,6,-0.0872369334101677,-0.9892439842224121,-0.11733274161815643,-7.615391254425049,2.2364237308502197,3.4512391090393066,-1.0046631319991448,-0.5995968405113388,-0.03668274314015463
1,LPMSB2-4B339F,0.024999999999977263,6,1.008056640625,-0.96240234375,-0.162841796875,-99.6039810180664,222.33531188964844,-49.415077209472656,1.1087148888458387,-0.33603549767579466,-0.9358440517815012
1,LPMSB2-4B3285,0.029999999999972715,7,-0.27908235788345337,-0.6455180644989014,-0.5650597810745239,-4.890681743621826,-32.07883071899414,-0.263656884431839,-0.4295441981415973,-1.2581625883134047,-1.3409645515195976
1,LPMSB2-4B3322,0.029999999999972715,7,-0.08259891718626022,-0.9817719459533691,-0.11468525230884552,-8.805868148803711,2.1590864658355713,4.174489974975586,-1.0000734432152711,-0.5923333434455351,-0.03357820726568583
1,LPMSB2-4B339F,0.029999999999972715,7,1.0234375,-0.971435546875,-0.19970703125,-98.62397766113281,219.99029541015625,-47.455074310302734,1.114062514445763,-0.34137958850874384,-0.9709505222544124
1,LPMSB2-4B3285,0.03499999999996817,8,-0.24349913001060486,-0.6089060306549072,-0.5457422733306885,7.396848201751709,-35.82994079589844,2.259638547897339,-0.3964618170159113,-1.2202211581334836,-1.3222060613806264
1,LPMSB2-4B3322,0.03499999999996817,8,-0.09914717823266983,-0.9842715263366699,-0.1110195741057396,-7.847497940063477,1.7775318622589111,4.451568126678467,-1.0166573949473303,-0.595015520494087,-0.02944136391045049
1,LPMSB2-4B339F,0.03499999999996817,8,1.038818359375,-0.97705078125,-0.229248046875,-101.03898620605469,213.3402862548828,-45.77507781982422,1.1192139067061628,-0.34344493294164025,-0.998715831966452
1,LPMSB2-4B3285,0.03999999999996362,9,-0.283752977848053,-0.6140018701553345,-0.5437665581703186,9.483321189880371,-34.96249771118164,1.692919373512268,-0.43929887688314295,-1.2240981773860975,-1.3206759148311438
