,T1-Shot1,T1-Shot2,T1-Shot3,T2-Shot1,T2-Shot2,T2-Shot3,T2-Shot4,T2-Shot5,T3-Shot1,T3-Shot2,T3-Shot3,T3-Shot4,T3-Shot5,T4-Shot1,T4-Shot2,T4-Shot3,T4-Shot4,T4-Shot5,T5-Shot1,T5-Shot2,T5-Shot3,T5-Shot4,T5-Shot5
T1-Shot1,0.0,0.22324174654585408,0.27166367107353007,0.4308939849817179,0.3265716354405774,0.33766019460449004,0.4100877464850491,0.3471956078705951,0.36459681908884645,0.3905516093962198,0.33605063567367044,0.4011432784262517,0.26509119905573564,0.40486613215584866,0.28641917174948506,0.31922518986540527,0.31656465783765014,0.43504435004103514,0.33880160276728205,0.27307153538102613,0.2846328349643989,0.27790675831362616,0.28975074694788094
T1-Shot2,0.22324174654585408,0.0,0.15356362332419643,0.4880671149023116,0.3733565637030036,0.3791885196037819,0.34662902604588053,0.31976431697063273,0.378317199296627,0.34916101934579863,0.36036959611568453,0.262651131904783,0.2871280984564766,0.43804939445927804,0.34082595453058645,0.36127617339559215,0.31423013592020743,0.386443845999372,0.2937091549200444,0.26607566254035875,0.23697135475931408,0.169601460396661,0.16255000272592496
T1-Shot3,0.27166367107353007,0.15356362332419643,0.0,0.5206474283329894,0.438593522210982,0.3976535484801968,0.403700717589212,0.34747149814396816,0.38655943801813497,0.35267800688556794,0.3788813007989438,0.3079231663515612,0.32745391367716453,0.49896908325064093,0.3619775356222773,0.4048700074472046,0.3342883650302057,0.43084437628933486,0.36364125752163295,0.33072384028226864,0.30961826366050127,0.19824235435839072,0.2010568296213053
T2-Shot1,0.4308939849817179,0.4880671149023116,0.5206474283329894,0.0,0.18617893983505635,0.2205376145349077,0.2790273026413166,0.28841066425558826,0.29430279289290107,0.38488321192131353,0.2707465599832504,0.41750642146967487,0.359316997839039,0.42591246045144693,0.361955508481771,0.39069111097214976,0.407707490168788,0.5509948613283088,0.3538564153009666,0.35622222146731597,0.39843538448507315,0.5494823768506403,0.5053260992852953
T2-Shot2,0.3265716354405774,0.3733565637030036,0.438593522210982,0.18617893983505635,0.0,0.12489344984209744,0.1589543986885925,0.22369448221909474,0.2583545725601852,0.2739559929513806,0.24854595965679588,0.2830759931698513,0.25054835396884667,0.2882982810561021,0.25342380149302923,0.2956974431016479,0.3171746794652851,0.4063867505536761,0.2878859158996285,0.27763991291451134,0.2928436845139733,0.4352931163145634,0.4082332111772718
T2-Shot3,0.33766019460449004,0.3791885196037819,0.3976535484801968,0.2205376145349077,0.12489344984209744,0.0,0.1764627886490713,0.17584353227827434,0.2003249308496847,0.2552781384251365,0.20602959025741138,0.2628968693389918,0.19914579071911087,0.31283937428016745,0.22142833425854244,0.2722599625026096,0.28916527897138955,0.42588654374273227,0.26044881381676493,0.2703101102219579,0.2903729173317295,0.3957135764713293,0.3968978705564119
T2-Shot4,0.4100877464850491,0.34662902604588053,0.403700717589212,0.2790273026413166,0.1589543986885925,0.1764627886490713,0.0,0.1491055426231159,0.25772536440021804,0.18308113472054283,0.2680764902244727,0.2095916766982785,0.2599234860572458,0.2464450925179242,0.2509244643593518,0.23669040419505016,0.26466096752426904,0.27018539893195126,0.20001464951695058,0.22197398001675148,0.20327234767468738,0.31787520915202416,0.34489740824491427
T2-Shot5,0.3471956078705951,0.31976431697063273,0.34747149814396816,0.28841066425558826,0.22369448221909474,0.17584353227827434,0.1491055426231159,0.0,0.1745920513744599,0.2059095193225371,0.2212182410843092,0.2134731407750853,0.17882843464340176,0.30689261604713164,0.24043941000019828,0.28265354256834496,0.2602763362072507,0.3408305367538451,0.228506637869028,0.2621285567306837,0.2711764201002813,0.2912069011275673,0.3253086863282373
T3-Shot1,0.36459681908884645,0.378317199296627,0.38655943801813497,0.29430279289290107,0.2583545725601852,0.2003249308496847,0.25772536440021804,0.1745920513744599,0.0,0.28190462408724704,0.18876480995442796,0.27372587070006715,0.2075329337403349,0.3421541153136717,0.2952574605656251,0.3279930409875933,0.32189563566185825,0.4458870538209452,0.30894211724920456,0.3139241627590188,0.34010288828991736,0.4059804679022918,0.4049243624055048
T3-Shot2,0.3905516093962198,0.34916101934579863,0.35267800688556794,0.38488321192131353,0.2739559929513806,0.2552781384251365,0.18308113472054283,0.2059095193225371,0.28190462408724704,0.0,0.2886610527459012,0.14423458124363966,0.25301691593163095,0.3186711788255239,0.32162207549973554,0.2772296629499724,0.16430183835721282,0.25940910761340613,0.21172706395449603,0.20963692820378627,0.25043485777457963,0.3137666069160989,0.3708071966296169
