,T1-Shot1,T1-Shot2,T1-Shot3,T1-Shot4,T1-Shot5,T2-Shot1,T2-Shot2,T2-Shot3,T2-Shot4,T2-Shot5,T3-Shot1,T3-Shot2,T3-Shot3,T3-Shot4,T3-Shot5,T4-Shot1,T4-Shot2,T4-Shot3,T4-Shot4,T4-Shot5,T5-Shot1,T5-Shot2,T5-Shot3,T5-Shot4,T5-Shot5
T3-Shot1,0.2579023265592251,0.26712441870617587,0.3030582508105336,0.2168378796239655,0.19629065682627683,0.3732839825468518,0.24957596795792064,0.2518816238128417,0.2651962564764971,0.1756440763658398,0.0,0.11721029057979994,0.17952770556038233,0.17053741244906334,0.4899595484814338,0.2567661093138081,0.24368806861726902,0.26731448286167014,0.2746195106600689,0.30462764804394044,0.41147898104812103,0.2587530920079906,0.29391564537909676,0.2988975440139678,0.33703077866710657
T3-Shot2,0.21392058197471467,0.21763980476154896,0.28990057928264834,0.20748810566321974,0.21156406311532855,0.36703390145259396,0.2018395178848378,0.23884733250067938,0.25634032120230804,0.1371624933848734,0.11721029057979994,0.0,0.1622122563572194,0.1295696581367583,0.47567328324571595,0.2160626437527999,0.22532539732676626,0.22210625206126122,0.2588127189094503,0.26759614481949473,0.4614459221781099,0.2869624706475371,0.29479337012176676,0.2967035628558119,0.351333343243158
T3-Shot3,0.24789806266266426,0.2010084911297185,0.30315966940029904,0.17364451203998263,0.2454714621746639,0.37033990593084265,0.23953572038456425,0.2808562934231602,0.25229086454387606,0.20457370769552766,0.17952770556038233,0.1622122563572194,0.0,0.13298809340972054,0.4188242741429209,0.20418250189886156,0.15918528198826637,0.20155602127828834,0.21610244565593564,0.23835680461733633,0.4712849189347067,0.26244137658862915,0.26137576427000647,0.2854776811227972,0.2982534546620236
T3-Shot4,0.16596280944744712,0.14436687595547668,0.24295695185733843,0.13583402123418975,0.15592846724168155,0.3563608825682135,0.1594373534676181,0.19591813094930555,0.23533558093144746,0.1358938117258715,0.17053741244906334,0.1295696581367583,0.13298809340972054,0.0,0.42020752944094375,0.14170993429575893,0.18049460100736128,0.19800965305680063,0.17639460396388829,0.2082454098835228,0.49268812149891794,0.27502618763099473,0.27146669963251796,0.2986258353741332,0.2855388794831871
T3-Shot5,0.4567827129355824,0.41103093656591766,0.5256373863242191,0.382306614945451,0.4809574679439686,0.30833335089984204,0.441200031213478,0.45448208293309406,0.39960577201850733,0.38280278121948114,0.4899595484814338,0.47567328324571595,0.4188242741429209,0.42020752944094375,0.0,0.37935487239355,0.4696294981600112,0.4083484783528741,0.4168911819944847,0.4468860270890246,0.46946628662505674,0.4367471701799133,0.48248995034177866,0.509679633114954,0.45753409466448886
T4-Shot1,0.18998643543504845,0.12537235024165655,0.3422526769013094,0.14690916903444082,0.18667629682577364,0.301040381724246,0.13541386995439028,0.18318141692968268,0.21513234460279518,0.11019846847720674,0.2567661093138081,0.2160626437527999,0.20418250189886156,0.14170993429575893,0.37935487239355,0.0,0.17795068901164682,0.1645942077657831,0.1392960983687114,0.25088008365035575,0.5082849950875009,0.27907270707144494,0.28135611622148415,0.31823356926127794,0.28037270518899504
T4-Shot2,0.19462418595614808,0.18727349967101337,0.31991370213948245,0.19726005206314157,0.2613270840319301,0.40936234525721105,0.20428366971464737,0.269993928018982,0.20545761156923023,0.18032547316944358,0.24368806861726902,0.22532539732676626,0.15918528198826637,0.18049460100736128,0.4696294981600112,0.17795068901164682,0.0,0.11375448354342504,0.14643328611173215,0.22552395629875063,0.5231650126936189,0.2567027597671856,0.2789370412093088,0.32964139765578077,0.3388976671737893
T4-Shot3,0.2129271374644745,0.15474993458624553,0.33377408328829766,0.18291859173291902,0.2325066387704316,0.36215744275829365,0.19047395146723153,0.23312491925350776,0.20224648937324027,0.16687840530717282,0.26731448286167014,0.22210625206126122,0.20155602127828834,0.19800965305680063,0.4083484783528741,0.1645942077657831,0.11375448354342504,0.0,0.11136772234685001,0.23283341187818113,0.5476426785415787,0.2950232055101288,0.29098740770253495,0.29786424447684184,0.3431884893910136
T4-Shot4,0.2275649219699033,0.11472785345929212,0.35323137284671086,0.16289375292446906,0.22095038494685415,0.3696164209758397,0.1923782520235708,0.26585606014923713,0.23827279304804241,0.18483480876700825,0.2746195106600689,0.2588127189094503,0.21610244565593564,0.17639460396388829,0.4168911819944847,0.1392960983687114,0.14643328611173215,0.11136772234685001,0.0,0.1903305652165062,0.5004905523452405,0.2726428243824575,0.2671452760466513,0.25951805690805196,0.29947517549767716
T4-Shot5,0.25834597796403175,0.1841761072003394,0.37636160392123963,0.26178718058230754,0.28711526973785745,0.4328488259644574,0.2760851848846955,0.3285262585280249,0.32988771627398883,0.2695106367406886,0.30462764804394044,0.26759614481949473,0.23835680461733633,0.2082454098835228,0.4468860270890246,0.25088008365035575,0.22552395629875063,0.23283341187818113,0.1903305652165062,0.0,0.4728781263243634,0.2302976046174311,0.2646780110349242,0.29916808056626765,0.3111474963198672
T5-Shot1,0.5255105966539256,0.5139878722067748,0.41759494940545633,0.5459995362986167,0.5177282257792613,0.4591267394270548,0.581442232513754,0.4847681145406298,0.5104549034902593,0.4790367345963678,0.41147898104812103,0.4614459221781099,0.4712849189347067,0.49268812149891794,0.46946628662505674,0.5082849950875009,0.5231650126936189,0.5476426785415787,0.5004905523452405,0.4728781263243634,0.0,0.28300074950955145,0.378834809983078,0.35250107045589635,0.35111792917488643
T5-Shot2,0.2919044246232358,0.2300905013161842,0.35364510994886644,0.302361028957433,0.313633643519488,0.3838867422246222,0.34003979849872445,0.32747098926394275,0.3585872087517732,0.28642300701017476,0.2587530920079906,0.2869624706475371,0.26244137658862915,0.27502618763099473,0.4367471701799133,0.27907270707144494,0.2567027597671856,0.2950232055101288,0.2726428243824575,0.2302976046174311,0.28300074950955145,0.0,0.1528242715078049,0.124936416806931,0.1462004417837662
T5-Shot3,0.2741904151124587,0.26419992148739346,0.3223146958337832,0.2790019771070317,0.296036666640253,0.3712721915616405,0.26052708338825337,0.26928101748612954,0.37110520956357573,0.28361340382763833,0.29391564537909676,0.29479337012176676,0.26137576427000647,0.27146669963251796,0.48248995034177866,0.28135611622148415,0.2789370412093088,0.29098740770253495,0.2671452760466513,0.2646780110349242,0.378834809983078,0.1528242715078049,0.0,0.14097735570160305,0.10933452311852776
T5-Shot4,0.3052632213824926,0.24792095512120527,0.3577638374313964,0.30173110661570773,0.28910882263058874,0.39483651743349546,0.33926432509539994,0.3254733154789464,0.41206085422181676,0.30822304396629846,0.2988975440139678,0.2967035628558119,0.2854776811227972,0.2986258353741332,0.509679633114954,0.31823356926127794,0.32964139765578077,0.29786424447684184,0.25951805690805196,0.29916808056626765,0.35250107045589635,0.124936416806931,0.14097735570160305,0.0,0.1281004491168559
T5-Shot5,0.2648558374954382,0.26770326694943747,0.3292458005232855,0.3177140109481517,0.34319638662495666,0.35271888050743394,0.3432651879094968,0.30289754817992165,0.41163659226850124,0.30609500198883133,0.33703077866710657,0.351333343243158,0.2982534546620236,0.2855388794831871,0.45753409466448886,0.28037270518899504,0.3388976671737893,0.3431884893910136,0.29947517549767716,0.3111474963198672,0.35111792917488643,0.1462004417837662,0.10933452311852776,0.1281004491168559,0.0
